settlement_id,sender_id,receiver_id,security_id,settlement_date
STL872161,gsch9157,gsch9157,SEC33225754,2025-06-25
STL678720,bnym4392,gsch9157,SEC80744213,2025-06-25
STL973418,bnpp7891,bnym4392,SEC49683435,2025-06-25
STL613790,gsch9157,gsch9157,SEC95084326,2025-06-25
STL411060,jpmc7624,jpmc7624,SEC18466369,2025-06-25
STL728110,bnym4392,bnym4392,SEC91784412,2025-06-25
STL254736,msly3284,bnpp7891,SEC62299738,2025-06-25
STL518951,msly3284,gsch9157,SEC95084326,2025-06-25
STL282784,bnym4392,jpmc7624,SEC49135226,2025-06-25
STL370427,msly3284,gsch9157,SEC92526768,2025-06-25
STL613790,bnpp7891,jpmc7624,SEC39713534,2025-06-25
STL567399,bnym4392,bnym4392,SEC95275942,2025-06-25
STL925861,msly3284,bnym4392,SEC20867261,2025-06-25
STL147873,bnym4392,gsch9157,SEC02808193,2025-06-25
STL700867,bnym4392,bnpp7891,SEC06358328,2025-06-25
STL924936,bnym4392,msly3284,SEC80744213,2025-06-25
STL678720,bnym4392,msly3284,SEC73731576,2025-06-25
STL719208,bnpp7891,bnym4392,SEC72508367,2025-06-25
STL661095,bnpp7891,msly3284,SEC15770835,2025-06-25
STL380517,bnpp7891,bnpp7891,SEC62152014,2025-06-25
STL635737,jpmc7624,msly3284,SEC63563961,2025-06-25
STL343491,gsch9157,bnpp7891,SEC95084326,2025-06-25
STL876727,bnpp7891,msly3284,SEC18466369,2025-06-25
STL953165,msly3284,gsch9157,SEC79653318,2025-06-25
STL794465,jpmc7624,bnym4392,SEC95275942,2025-06-25
STL977406,bnpp7891,gsch9157,SEC09074285,2025-06-25
STL439856,jpmc7624,msly3284,SEC95059508,2025-06-25
STL196273,msly3284,msly3284,SEC83295786,2025-06-25
STL967457,bnpp7891,bnym4392,SEC94008735,2025-06-25
STL125637,bnym4392,bnym4392,SEC17238945,2025-06-25
STL504077,jpmc7624,gsch9157,SEC78838772,2025-06-25
STL504077,gsch9157,gsch9157,SEC46886048,2025-06-25
STL564081,gsch9157,gsch9157,SEC44603380,2025-06-25
STL183193,gsch9157,msly3284,SEC42838516,2025-06-25
STL276191,gsch9157,bnym4392,SEC54026709,2025-06-25
STL430761,jpmc7624,bnym4392,SEC23995058,2025-06-25
STL422417,bnym4392,gsch9157,SEC06153969,2025-06-25
STL613790,gsch9157,jpmc7624,SEC94040575,2025-06-25
STL518951,gsch9157,bnym4392,SEC07062809,2025-06-25
STL156336,bnym4392,gsch9157,SEC54828914,2025-06-25
STL156336,bnym4392,bnym4392,SEC91784412,2025-06-25
STL146302,msly3284,bnym4392,SEC02808193,2025-06-25
STL575802,bnym4392,jpmc7624,SEC17238945,2025-06-25
STL125637,bnym4392,bnpp7891,SEC06202888,2025-06-25
STL479544,gsch9157,jpmc7624,SEC90086706,2025-06-25
STL644492,gsch9157,bnym4392,SEC92526768,2025-06-25
STL973418,gsch9157,bnym4392,SEC02808193,2025-06-25
STL726929,msly3284,bnpp7891,SEC76588608,2025-06-25
STL431466,msly3284,msly3284,SEC94008735,2025-06-25
STL343491,bnym4392,bnym4392,SEC83632787,2025-06-25
STL282784,bnym4392,bnym4392,SEC20125228,2025-06-25
STL876727,bnym4392,bnpp7891,SEC42818625,2025-06-25
STL422417,msly3284,msly3284,SEC42818625,2025-06-25
STL979172,bnym4392,gsch9157,SEC08940551,2025-06-25
STL614730,bnym4392,jpmc7624,SEC49519778,2025-06-25
STL254736,msly3284,bnpp7891,SEC33540723,2025-06-25
STL816130,msly3284,jpmc7624,SEC11175111,2025-06-25
STL977406,jpmc7624,msly3284,SEC02808193,2025-06-25
STL661095,jpmc7624,bnym4392,SEC72521965,2025-06-25
STL847820,msly3284,gsch9157,SEC32466378,2025-06-25
STL282784,msly3284,msly3284,SEC54408706,2025-06-25
STL876744,msly3284,msly3284,SEC41338804,2025-06-25
STL726929,bnym4392,msly3284,SEC54026709,2025-06-25
STL105708,jpmc7624,msly3284,SEC39713534,2025-06-25
STL925861,gsch9157,bnpp7891,SEC95768551,2025-06-25
STL254736,bnym4392,bnpp7891,SEC17957015,2025-06-25
STL479544,bnym4392,bnpp7891,SEC04289209,2025-06-25
STL146302,msly3284,gsch9157,SEC47880084,2025-06-25
STL502975,bnym4392,jpmc7624,SEC06202888,2025-06-25
STL816130,gsch9157,gsch9157,SEC29761625,2025-06-25
STL919081,jpmc7624,bnym4392,SEC07062809,2025-06-25
STL146302,bnpp7891,bnpp7891,SEC06358328,2025-06-25
STL147873,msly3284,jpmc7624,SEC69469810,2025-06-25
STL222267,jpmc7624,bnym4392,SEC02808193,2025-06-25
STL656658,bnym4392,gsch9157,SEC83173177,2025-06-25
STL973418,bnpp7891,bnpp7891,SEC15770835,2025-06-25
STL997585,bnym4392,jpmc7624,SEC20125228,2025-06-25
STL370427,bnpp7891,bnym4392,SEC81696933,2025-06-25
STL370427,jpmc7624,bnpp7891,SEC38847251,2025-06-25
STL977406,gsch9157,jpmc7624,SEC42818625,2025-06-25
STL134716,gsch9157,bnym4392,SEC24408638,2025-06-25
STL886064,bnym4392,bnpp7891,SEC54828914,2025-06-25
STL909037,gsch9157,jpmc7624,SEC94008735,2025-06-25
STL370427,msly3284,bnpp7891,SEC96594615,2025-06-25
STL816130,gsch9157,bnpp7891,SEC29761625,2025-06-25
STL219416,bnpp7891,msly3284,SEC32466378,2025-06-25
STL719208,gsch9157,jpmc7624,SEC96594615,2025-06-25
STL638920,msly3284,gsch9157,SEC72521965,2025-06-25
STL530892,gsch9157,bnpp7891,SEC47880084,2025-06-25
STL829327,gsch9157,bnym4392,SEC41935889,2025-06-25
STL876727,msly3284,msly3284,SEC69469810,2025-06-25
STL204264,bnym4392,bnpp7891,SEC69469810,2025-06-25
STL201854,jpmc7624,bnym4392,SEC04289209,2025-06-25
STL924936,bnym4392,msly3284,SEC17238945,2025-06-25
STL564460,gsch9157,bnym4392,SEC17610386,2025-06-25
STL282784,msly3284,msly3284,SEC69469810,2025-06-25
STL919081,msly3284,jpmc7624,SEC63563961,2025-06-25
STL183193,bnym4392,msly3284,SEC49683435,2025-06-25
STL439856,gsch9157,msly3284,SEC89131773,2025-06-25
STL614730,bnym4392,gsch9157,SEC35130648,2025-06-25
STL722474,bnym4392,bnym4392,SEC02448522,2025-06-25
STL869533,gsch9157,bnpp7891,SEC94008735,2025-06-25
STL237838,msly3284,jpmc7624,SEC21484824,2025-06-25
STL572066,bnym4392,msly3284,SEC90499683,2025-06-25
STL237838,gsch9157,gsch9157,SEC80224851,2025-06-25
STL254736,gsch9157,bnym4392,SEC78838772,2025-06-25
STL307041,msly3284,gsch9157,SEC21484824,2025-06-25
STL518951,bnpp7891,jpmc7624,SEC88262072,2025-06-25
STL116785,bnpp7891,jpmc7624,SEC23995058,2025-06-25
STL125637,bnpp7891,gsch9157,SEC41341559,2025-06-25
STL925861,bnpp7891,gsch9157,SEC95059508,2025-06-25
STL613790,msly3284,msly3284,SEC97582275,2025-06-25
STL479544,bnym4392,msly3284,SEC02448522,2025-06-25
STL953165,bnpp7891,msly3284,SEC20125228,2025-06-25
STL237838,jpmc7624,bnpp7891,SEC94040575,2025-06-25
STL872161,gsch9157,bnpp7891,SEC72197076,2025-06-25
STL504077,gsch9157,bnym4392,SEC02808193,2025-06-25
STL967457,jpmc7624,jpmc7624,SEC86593716,2025-06-25
STL953165,jpmc7624,bnym4392,SEC49519778,2025-06-25
STL530892,gsch9157,gsch9157,SEC69400195,2025-06-25
STL924936,jpmc7624,bnpp7891,SEC15770835,2025-06-25
STL146302,bnpp7891,bnym4392,SEC92526768,2025-06-25
STL156336,msly3284,msly3284,SEC80744213,2025-06-25
STL105708,msly3284,gsch9157,SEC42838516,2025-06-25
STL567399,msly3284,bnpp7891,SEC90086706,2025-06-25
STL137024,gsch9157,msly3284,SEC81696933,2025-06-25
STL411060,jpmc7624,bnpp7891,SEC17238945,2025-06-25
STL201854,gsch9157,jpmc7624,SEC42838516,2025-06-25
STL847820,bnym4392,msly3284,SEC49683435,2025-06-25
STL430761,jpmc7624,gsch9157,SEC54828914,2025-06-25
STL644492,gsch9157,bnpp7891,SEC93056730,2025-06-25
STL196273,bnym4392,bnpp7891,SEC16236506,2025-06-25
STL422417,msly3284,gsch9157,SEC44603380,2025-06-25
STL282784,bnpp7891,bnym4392,SEC95275942,2025-06-25
STL504077,bnym4392,jpmc7624,SEC17957015,2025-06-25
STL567399,msly3284,jpmc7624,SEC83173177,2025-06-25
STL479544,bnym4392,gsch9157,SEC08940551,2025-06-25
STL886064,jpmc7624,bnpp7891,SEC69469810,2025-06-25
STL918733,gsch9157,jpmc7624,SEC29761625,2025-06-25
STL504077,bnym4392,msly3284,SEC95275942,2025-06-25
STL728110,bnym4392,bnpp7891,SEC53826964,2025-06-25
STL575802,gsch9157,jpmc7624,SEC94040575,2025-06-25
STL134716,jpmc7624,bnym4392,SEC57447165,2025-06-25
STL744166,gsch9157,bnpp7891,SEC38847251,2025-06-25
STL254736,bnpp7891,msly3284,SEC95059508,2025-06-25
STL876727,bnym4392,jpmc7624,SEC07530448,2025-06-25
STL997118,bnpp7891,gsch9157,SEC42838516,2025-06-25
STL219416,bnym4392,jpmc7624,SEC42838516,2025-06-25
STL993718,bnym4392,jpmc7624,SEC38429949,2025-06-25
STL537804,jpmc7624,jpmc7624,SEC88262072,2025-06-25
STL952325,bnpp7891,jpmc7624,SEC86593716,2025-06-25
STL895393,bnym4392,msly3284,SEC41338804,2025-06-25
STL909037,gsch9157,bnym4392,SEC62152014,2025-06-25
STL188171,jpmc7624,msly3284,SEC54408706,2025-06-25
STL979030,gsch9157,jpmc7624,SEC63563961,2025-06-25
STL869533,gsch9157,gsch9157,SEC20125228,2025-06-25
STL829327,msly3284,bnpp7891,SEC53826964,2025-06-25
STL829327,bnym4392,jpmc7624,SEC06202888,2025-06-25
STL925861,msly3284,gsch9157,SEC80744213,2025-06-25
STL411060,bnpp7891,bnpp7891,SEC17957015,2025-06-25
STL726929,msly3284,msly3284,SEC97582275,2025-06-25
STL316246,gsch9157,msly3284,SEC28590988,2025-06-25
STL254124,msly3284,bnpp7891,SEC17238945,2025-06-25
STL710929,gsch9157,bnym4392,SEC06816856,2025-06-25
STL847820,bnym4392,jpmc7624,SEC17610386,2025-06-25
STL876744,bnym4392,bnpp7891,SEC95059508,2025-06-25
STL728110,msly3284,msly3284,SEC54408706,2025-06-25
STL431466,gsch9157,msly3284,SEC35130648,2025-06-25
STL188171,msly3284,bnpp7891,SEC62152014,2025-06-25
STL316246,msly3284,msly3284,SEC69469810,2025-06-25
STL876727,gsch9157,gsch9157,SEC83632787,2025-06-25
STL924936,msly3284,jpmc7624,SEC93056730,2025-06-25
STL431466,bnym4392,gsch9157,SEC06202888,2025-06-25
STL886064,msly3284,gsch9157,SEC44603380,2025-06-25
STL644492,gsch9157,gsch9157,SEC54828914,2025-06-25
STL479544,gsch9157,jpmc7624,SEC75964233,2025-06-25
STL411060,bnpp7891,msly3284,SEC73731576,2025-06-25
STL700867,bnpp7891,jpmc7624,SEC83295786,2025-06-25
STL829327,jpmc7624,bnym4392,SEC95275942,2025-06-25
STL865620,msly3284,jpmc7624,SEC06358328,2025-06-25
STL977406,jpmc7624,bnym4392,SEC41341559,2025-06-25
STL196273,bnym4392,bnym4392,SEC85416912,2025-06-25
STL183193,msly3284,bnym4392,SEC16236506,2025-06-25
STL700867,bnpp7891,msly3284,SEC08940551,2025-06-25
STL953165,msly3284,jpmc7624,SEC39713534,2025-06-25
STL977406,msly3284,gsch9157,SEC83173177,2025-06-25
STL282784,gsch9157,bnym4392,SEC06153969,2025-06-25
STL822877,bnpp7891,jpmc7624,SEC07530448,2025-06-25
STL925861,msly3284,bnpp7891,SEC86593716,2025-06-25
STL741180,bnym4392,jpmc7624,SEC23995058,2025-06-25
STL723671,msly3284,msly3284,SEC95768551,2025-06-25
STL530892,bnym4392,gsch9157,SEC80744213,2025-06-25
STL997118,gsch9157,jpmc7624,SEC53826964,2025-06-25
STL911288,msly3284,msly3284,SEC06816856,2025-06-25
STL601387,gsch9157,bnym4392,SEC85416912,2025-06-25
STL979172,gsch9157,bnym4392,SEC54026709,2025-06-25
STL468319,msly3284,bnpp7891,SEC88262072,2025-06-25
STL254736,bnym4392,msly3284,SEC18466369,2025-06-25
STL872161,msly3284,bnym4392,SEC33178664,2025-06-25
STL993718,bnym4392,msly3284,SEC49683435,2025-06-25
STL829327,msly3284,bnym4392,SEC88262072,2025-06-25
STL105708,gsch9157,bnpp7891,SEC41935889,2025-06-25
STL282784,msly3284,bnpp7891,SEC24347409,2025-06-25
STL710929,gsch9157,bnpp7891,SEC07530448,2025-06-25
STL741180,bnpp7891,gsch9157,SEC06358328,2025-06-25
STL876744,jpmc7624,msly3284,SEC33540723,2025-06-25
STL307041,gsch9157,jpmc7624,SEC60427503,2025-06-25
STL697030,msly3284,gsch9157,SEC07530448,2025-06-25
STL276191,gsch9157,bnym4392,SEC49683435,2025-06-25
STL502975,bnpp7891,gsch9157,SEC07062809,2025-06-25
STL183193,bnpp7891,bnpp7891,SEC94008735,2025-06-25
STL316246,msly3284,bnpp7891,SEC85416912,2025-06-25
STL723671,bnpp7891,msly3284,SEC80356505,2025-06-25
STL380517,msly3284,bnpp7891,SEC95768551,2025-06-25
STL188171,gsch9157,gsch9157,SEC72521965,2025-06-25
STL254736,bnpp7891,msly3284,SEC75964233,2025-06-25
STL744166,bnpp7891,jpmc7624,SEC69400195,2025-06-25
STL638920,bnym4392,jpmc7624,SEC42818625,2025-06-25
STL276191,msly3284,msly3284,SEC44603380,2025-06-25
STL829327,bnpp7891,msly3284,SEC62299738,2025-06-25
STL678720,bnym4392,bnym4392,SEC88262072,2025-06-25
STL638920,msly3284,gsch9157,SEC20125228,2025-06-25
STL316246,bnym4392,msly3284,SEC41338804,2025-06-25
STL744166,gsch9157,gsch9157,SEC62299738,2025-06-25
STL979172,msly3284,bnpp7891,SEC41338804,2025-06-25
STL967457,jpmc7624,jpmc7624,SEC44603380,2025-06-25
STL953165,bnym4392,bnym4392,SEC58783198,2025-06-25
STL895393,msly3284,gsch9157,SEC15770835,2025-06-25
STL147873,bnym4392,bnym4392,SEC90053185,2025-06-25
STL450516,gsch9157,bnpp7891,SEC69400195,2025-06-25
STL741180,bnym4392,bnym4392,SEC41338804,2025-06-25
STL661095,gsch9157,jpmc7624,SEC28590988,2025-06-25
STL218395,msly3284,gsch9157,SEC69469810,2025-06-25
STL879753,msly3284,bnym4392,SEC17238945,2025-06-25
STL613790,bnpp7891,bnpp7891,SEC32466378,2025-06-25
STL876744,gsch9157,msly3284,SEC53826964,2025-06-25
STL439856,msly3284,msly3284,SEC83173177,2025-06-25
STL909037,gsch9157,jpmc7624,SEC33178664,2025-06-25
STL794465,gsch9157,bnpp7891,SEC60427503,2025-06-25
STL336830,gsch9157,gsch9157,SEC24408638,2025-06-25
STL439856,bnym4392,gsch9157,SEC44603380,2025-06-25
STL276191,bnym4392,bnpp7891,SEC30376909,2025-06-25
STL450516,gsch9157,bnpp7891,SEC53732572,2025-06-25
STL635737,bnym4392,msly3284,SEC21484824,2025-06-25
STL876744,jpmc7624,jpmc7624,SEC80744213,2025-06-25
STL439856,msly3284,msly3284,SEC63563961,2025-06-25
STL967457,msly3284,bnym4392,SEC95084326,2025-06-25
STL307041,gsch9157,bnpp7891,SEC85416912,2025-06-25
STL876744,jpmc7624,bnpp7891,SEC62299738,2025-06-25
STL879753,gsch9157,gsch9157,SEC54026709,2025-06-25
STL834628,gsch9157,msly3284,SEC29761625,2025-06-25
STL822877,msly3284,bnym4392,SEC85416912,2025-06-25
STL879753,jpmc7624,msly3284,SEC06202888,2025-06-25
STL919081,msly3284,jpmc7624,SEC28590988,2025-06-25
STL218395,bnym4392,jpmc7624,SEC80224851,2025-06-25
STL728110,msly3284,bnym4392,SEC91784412,2025-06-25
STL370427,bnpp7891,bnpp7891,SEC80224851,2025-06-25
STL700867,gsch9157,gsch9157,SEC88262072,2025-06-25
STL575802,bnym4392,bnym4392,SEC39713534,2025-06-25
STL518951,bnym4392,bnym4392,SEC80224851,2025-06-25
STL343491,jpmc7624,jpmc7624,SEC24347409,2025-06-25
STL872161,bnym4392,msly3284,SEC95084326,2025-06-25
STL925861,gsch9157,jpmc7624,SEC23995058,2025-06-25
STL678720,jpmc7624,jpmc7624,SEC87795918,2025-06-25
STL201854,msly3284,bnym4392,SEC41341559,2025-06-25
STL430761,msly3284,bnpp7891,SEC02808193,2025-06-25
STL952065,bnym4392,gsch9157,SEC95275942,2025-06-25
STL479544,bnym4392,jpmc7624,SEC80224851,2025-06-25
STL204264,msly3284,gsch9157,SEC79653318,2025-06-25
STL869533,bnym4392,gsch9157,SEC04289209,2025-06-25
STL439856,gsch9157,msly3284,SEC17957015,2025-06-25
STL869533,jpmc7624,gsch9157,SEC21362411,2025-06-25
STL411060,gsch9157,msly3284,SEC24408638,2025-06-25
STL196273,msly3284,bnpp7891,SEC87795918,2025-06-25
STL872161,bnpp7891,msly3284,SEC16236506,2025-06-25
STL316246,msly3284,gsch9157,SEC16236506,2025-06-25
STL196273,gsch9157,gsch9157,SEC53826964,2025-06-25
STL872161,bnym4392,jpmc7624,SEC80744213,2025-06-25
STL638920,bnym4392,gsch9157,SEC83632787,2025-06-25
STL635737,gsch9157,gsch9157,SEC62299738,2025-06-25
STL422417,msly3284,jpmc7624,SEC04289209,2025-06-25
STL979172,gsch9157,bnym4392,SEC24408638,2025-06-25
STL431466,bnym4392,gsch9157,SEC69469810,2025-06-25
STL282784,bnym4392,msly3284,SEC33225754,2025-06-25
STL411060,bnym4392,bnpp7891,SEC63563961,2025-06-25
STL919081,jpmc7624,bnym4392,SEC45304930,2025-06-25
STL993718,gsch9157,jpmc7624,SEC07530448,2025-06-25
STL924936,bnpp7891,msly3284,SEC54408706,2025-06-25
STL834628,bnym4392,jpmc7624,SEC85416912,2025-06-25
STL997585,jpmc7624,bnym4392,SEC33178664,2025-06-25
STL218395,bnym4392,bnpp7891,SEC83476316,2025-06-25
STL697030,bnpp7891,msly3284,SEC39713534,2025-06-25
STL782201,gsch9157,bnpp7891,SEC69469810,2025-06-25
STL567399,bnym4392,msly3284,SEC92526768,2025-06-25
STL537804,bnym4392,bnym4392,SEC09074285,2025-06-25
STL794465,gsch9157,bnpp7891,SEC94008735,2025-06-25
STL869533,bnpp7891,bnpp7891,SEC95275942,2025-06-25
STL744166,gsch9157,bnym4392,SEC83295786,2025-06-25
STL741180,bnpp7891,bnym4392,SEC62299738,2025-06-25
STL847820,bnpp7891,msly3284,SEC47880084,2025-06-25
STL661095,bnpp7891,bnym4392,SEC83632787,2025-06-25
STL700867,bnym4392,bnym4392,SEC62152014,2025-06-25
STL567399,jpmc7624,msly3284,SEC83632787,2025-06-25
STL997585,msly3284,bnpp7891,SEC17610386,2025-06-25
STL700867,bnym4392,bnpp7891,SEC49135226,2025-06-25
STL661095,bnym4392,bnpp7891,SEC80744213,2025-06-25
STL218395,bnym4392,jpmc7624,SEC72521965,2025-06-25
STL911288,gsch9157,bnym4392,SEC87795918,2025-06-25
STL564081,bnym4392,bnpp7891,SEC94040575,2025-06-25
STL431466,jpmc7624,jpmc7624,SEC94008735,2025-06-25
STL537804,gsch9157,bnym4392,SEC95768551,2025-06-25
STL146302,gsch9157,jpmc7624,SEC94008735,2025-06-25
STL316246,bnym4392,gsch9157,SEC53732572,2025-06-25
STL697030,bnym4392,jpmc7624,SEC21484824,2025-06-25
STL953165,gsch9157,bnym4392,SEC44603380,2025-06-25
STL156336,gsch9157,msly3284,SEC83295786,2025-06-25
STL116785,msly3284,bnpp7891,SEC46886048,2025-06-25
STL925861,gsch9157,bnpp7891,SEC17957015,2025-06-25
STL656658,bnym4392,bnym4392,SEC39713534,2025-06-25
STL782201,bnym4392,gsch9157,SEC80744213,2025-06-25
STL879753,gsch9157,bnpp7891,SEC47880084,2025-06-25
STL370427,bnpp7891,bnpp7891,SEC63563961,2025-06-25
STL895393,bnpp7891,bnpp7891,SEC23995058,2025-06-25
STL865620,jpmc7624,msly3284,SEC04289209,2025-06-25
STL973418,gsch9157,msly3284,SEC46886048,2025-06-25
STL816130,msly3284,msly3284,SEC46886048,2025-06-25
