trade_id,isin,quantity,price,trade_date,settlement_date,side,counter_party,broker_id
BKR000053,DI5874857379,8544,544.15,2025-02-24,2025-02-27,Buy,State Street,BRK001
BKR000054,QG3112605665,3686,712.1,2025-05-15,2025-05-18,Sell,State Street,BRK004
BKR000055,IM9837456734,449,318.78,2025-03-28,2025-03-31,Sell,BNY Mellon,BRK002
BKR000056,YL7277169394,6895,714.33,2025-06-10,2025-06-13,Buy,State Street,BRK001
BKR000057,TN9753891935,8292,593.44,2025-05-26,2025-05-29,Sell,State Street,BRK002
BKR000058,VA1137001809,897,451.85,2025-05-23,2025-05-25,Sell,HDFC Custodian,BRK002
BKR000059,DH7061019287,1622,193.12,2025-02-06,2025-02-07,Sell,State Street,BRK004
BKR000060,IB9233236902,9958,177.47,2025-05-04,2025-05-05,Sell,HDFC Custodian,BRK003
BKR000061,RP9333142120,6094,829.51,2025-05-16,2025-05-17,Buy,HDFC Custodian,BRK003
BKR000062,NV8638573581,6696,446.33,2025-03-23,2025-03-26,Buy,Northern Trust,BRK003
BKR000063,LH8804567400,3921,607.51,2025-01-16,2025-01-18,Sell,BNY Mellon,BRK004
BKR000064,CT9806678771,9562,146.52,2025-05-20,2025-05-23,Sell,BNY Mellon,BRK004
BKR000065,EU2211503600,1774,895.17,2025-01-08,2025-01-11,Sell,HDFC Custodian,BRK003
BKR000066,BN2232881949,4443,853.67,2025-05-07,2025-05-09,Buy,BNY Mellon,BRK002
BKR000067,BZ9191093248,550,685.37,2025-06-17,2025-06-18,Sell,State Street,BRK002
BKR000068,XK2981262053,3416,814.96,2025-02-24,2025-02-27,Buy,HDFC Custodian,BRK004
BKR000069,VT1126090274,429,224.03,2025-01-03,2025-01-06,Sell,State Street,BRK004
BKR000070,GG2905817690,3230,810.34,2025-01-19,2025-01-22,Sell,BNY Mellon,BRK001
BKR000071,NO3461904461,6153,125.66,2025-04-10,2025-04-12,Sell,BNY Mellon,BRK002
BKR000072,VL9287967467,3717,260.92,2025-02-10,2025-02-12,Sell,Northern Trust,BRK003
BKR000073,YD9171284528,2482,277.21,2025-04-02,2025-04-04,Sell,HDFC Custodian,BRK001
BKR000074,BG3894717053,2116,68.79,2025-02-27,2025-03-02,Sell,Northern Trust,BRK002
BKR000075,YQ7615047488,8805,462.82,2025-06-03,2025-06-04,Buy,HDFC Custodian,BRK001
BKR000076,EC8716037144,3443,845.65,2025-04-24,2025-04-26,Buy,State Street,BRK003
BKR000077,SH9502799800,7404,188.57,2025-02-17,2025-02-18,Sell,Northern Trust,BRK002
BKR000078,HP3552998706,2357,396.97,2025-04-15,2025-04-16,Buy,State Street,BRK003
BKR000079,HT3351583888,9980,134.11,2024-12-25,2024-12-26,Sell,State Street,BRK004
BKR000080,OP6676561005,4038,420.87,2025-03-03,2025-03-05,Sell,State Street,BRK003
BKR000081,EW9543363531,4421,128.43,2025-05-21,2025-05-24,Buy,Northern Trust,BRK002
BKR000082,RW6446169505,9006,382.87,2025-02-24,2025-02-27,Sell,Northern Trust,BRK003
BKR000083,ZA2599987230,6203,410.32,2025-02-21,2025-02-23,Sell,State Street,BRK003
BKR000084,SB5196757326,2600,832.7,2025-05-12,2025-05-14,Sell,BNY Mellon,BRK002
BKR000085,YU3530142789,468,625.73,2025-06-02,2025-06-03,Buy,BNY Mellon,BRK003
BKR000086,EZ5877992922,6822,203.27,2025-06-01,2025-06-03,Buy,BNY Mellon,BRK003
BKR000087,FO7112164565,7221,886.96,2025-03-06,2025-03-08,Sell,Northern Trust,BRK001
BKR000088,UE7090459221,5449,479.24,2025-05-06,2025-05-08,Buy,State Street,BRK002
BKR000089,HK9659354043,3614,171.07,2025-04-21,2025-04-24,Buy,Northern Trust,BRK002
BKR000090,FU9456082768,8890,579.98,2025-03-01,2025-03-02,Sell,Northern Trust,BRK003
BKR000091,VV9430125388,7740,346.09,2025-01-02,2025-01-03,Sell,BNY Mellon,BRK002
BKR000092,YQ2707763350,5632,756.92,2025-03-17,2025-03-20,Sell,State Street,BRK002
BKR000093,SX2307864130,8295,671.24,2025-01-02,2025-01-04,Sell,State Street,BRK001
BKR000094,EZ3038275592,8221,836.38,2025-01-14,2025-01-16,Buy,BNY Mellon,BRK004
BKR000095,US9729692241,8766,598.13,2025-06-09,2025-06-10,Sell,State Street,BRK002
BKR000096,UH0674575266,7213,234.43,2025-01-17,2025-01-18,Sell,Northern Trust,BRK004
BKR000097,CF2170411946,8779,789.54,2025-03-14,2025-03-15,Buy,HDFC Custodian,BRK004
BKR000098,CH6747705045,3345,738.33,2025-03-10,2025-03-13,Buy,BNY Mellon,BRK003
BKR000099,VX9411387496,2344,112.2,2025-06-04,2025-06-05,Buy,State Street,BRK003
BKR000100,WI6285034391,5877,916.92,2025-04-17,2025-04-20,Buy,State Street,BRK001
BKR000101,LN9711759706,7212,774.97,2025-05-08,2025-05-09,Buy,BNY Mellon,BRK003
BKR000102,ZD0317425021,1340,556.78,2025-01-15,2025-01-16,Buy,BNY Mellon,BRK002
BKR000103,YC5983225242,1360,695.28,2025-02-17,2025-02-20,Sell,State Street,BRK004
BKR000104,AP1701056914,2232,265.19,2025-04-11,2025-04-14,Buy,HDFC Custodian,BRK004
BKR000105,XV4270667589,5797,93.19,2025-03-14,2025-03-16,Sell,HDFC Custodian,BRK004
BKR000106,ZL1555500702,6916,669.44,2025-02-08,2025-02-11,Buy,BNY Mellon,BRK002
BKR000107,VA0979980294,2426,146.27,2025-05-07,2025-05-10,Buy,HDFC Custodian,BRK003
BKR000108,GS9109204457,5435,72.58,2024-12-23,2024-12-26,Sell,BNY Mellon,BRK003
BKR000109,TO6408194396,2927,226.16,2025-06-14,2025-06-15,Sell,State Street,BRK004
BKR000110,CG8904400706,9755,185.06,2025-05-20,2025-05-21,Sell,State Street,BRK003
BKR000111,XT1951651308,6840,737.33,2025-03-12,2025-03-14,Buy,State Street,BRK001
BKR000112,SR0988846096,3766,150.76,2025-06-13,2025-06-14,Sell,State Street,BRK003
BKR000113,QG3671635220,3708,952.32,2025-03-19,2025-03-22,Sell,BNY Mellon,BRK002
BKR000114,DQ6235146924,2819,448.99,2025-01-04,2025-01-05,Sell,BNY Mellon,BRK004
BKR000115,TC3038362314,2825,751.01,2025-04-03,2025-04-06,Sell,State Street,BRK001
BKR000116,XA3157737775,2176,182.69,2025-02-10,2025-02-11,Sell,HDFC Custodian,BRK004
BKR000117,MX5020065317,4601,859.56,2025-02-16,2025-02-18,Buy,Northern Trust,BRK001
BKR000118,VO3336795097,6796,889.21,2025-04-11,2025-04-13,Buy,HDFC Custodian,BRK001
BKR000119,VS9935999133,8150,265.85,2025-04-04,2025-04-06,Buy,BNY Mellon,BRK003
BKR000120,RL6937485487,6098,331.92,2025-06-15,2025-06-16,Sell,BNY Mellon,BRK004
BKR000121,LV8233944147,1333,96.1,2025-05-28,2025-05-29,Sell,State Street,BRK003
BKR000122,VP5482837781,6899,829.04,2025-02-16,2025-02-19,Buy,BNY Mellon,BRK001
BKR000123,KN8105841976,3260,581.53,2025-04-06,2025-04-07,Buy,Northern Trust,BRK002
BKR000124,SR1782486308,1801,636.59,2025-01-17,2025-01-20,Buy,State Street,BRK001
BKR000125,YO9289132550,7072,475.08,2025-02-06,2025-02-07,Buy,Northern Trust,BRK002
BKR000126,VM9471221612,6048,461.4,2025-03-20,2025-03-22,Sell,HDFC Custodian,BRK002
BKR000127,ZS3755630699,3282,263.55,2025-04-03,2025-04-06,Buy,State Street,BRK002
BKR000128,HK0432504996,326,781.28,2025-02-15,2025-02-17,Sell,HDFC Custodian,BRK002
BKR000129,YZ4430138939,4562,765.06,2025-06-01,2025-06-02,Buy,BNY Mellon,BRK002
BKR000130,ZR4150520978,3701,205.57,2025-04-25,2025-04-26,Buy,State Street,BRK003
BKR000131,NZ1223284960,311,925.73,2025-04-24,2025-04-26,Buy,BNY Mellon,BRK001
BKR000132,ND7030113716,9606,771.3,2025-05-12,2025-05-14,Buy,BNY Mellon,BRK002
BKR000133,HZ8214820895,8388,825.65,2025-02-26,2025-02-27,Sell,BNY Mellon,BRK001
BKR000134,BE5318520225,2389,85.15,2025-06-16,2025-06-19,Buy,State Street,BRK002
BKR000135,OZ6902088712,2547,405.71,2025-04-30,2025-05-01,Sell,BNY Mellon,BRK003
BKR000136,XA1952180948,5898,793.61,2025-03-27,2025-03-30,Sell,State Street,BRK001
BKR000137,IA0514401249,8379,82.66,2025-06-18,2025-06-21,Sell,BNY Mellon,BRK003
BKR000138,FP9898252285,3659,485.31,2025-03-31,2025-04-02,Buy,State Street,BRK003
BKR000139,PS9653626669,1164,480.39,2025-05-21,2025-05-22,Sell,Northern Trust,BRK004
BKR000140,JO4936310424,3882,228.39,2025-03-21,2025-03-24,Buy,BNY Mellon,BRK003
BKR000141,SH5055519241,9012,751.52,2025-02-01,2025-02-04,Buy,BNY Mellon,BRK004
BKR000142,OY8881428246,2421,544.12,2025-04-15,2025-04-18,Buy,HDFC Custodian,BRK003
BKR000143,HL7027599437,8400,671.93,2025-05-22,2025-05-24,Sell,Northern Trust,BRK001
BKR000144,NU2154604617,3224,630.3,2024-12-22,2024-12-25,Buy,Northern Trust,BRK002
BKR000145,DM5497080191,6252,416.47,2025-02-07,2025-02-09,Sell,Northern Trust,BRK004
BKR000146,TN3960414677,2800,419.02,2025-02-22,2025-02-23,Sell,BNY Mellon,BRK004
BKR000147,JX7683686564,1586,62.08,2025-05-25,2025-05-27,Sell,BNY Mellon,BRK002
BKR000148,EZ6551522839,2468,363.54,2025-06-17,2025-06-20,Sell,Northern Trust,BRK002
BKR000149,NX2709083424,9819,914.59,2025-01-28,2025-01-30,Buy,State Street,BRK004
BKR000150,ZE3162730449,6920,553.27,2025-04-14,2025-04-15,Sell,Northern Trust,BRK004
BKR000151,PW5387172404,7987,825.25,2025-03-15,2025-03-17,Buy,State Street,BRK002
BKR000152,US7272007157,844,238.14,2025-02-02,2025-02-04,Sell,BNY Mellon,BRK003
BKR000153,HH6715357187,4279,995.55,2025-04-09,2025-04-12,Sell,Northern Trust,BRK003
BKR000154,RF3879269973,1523,416.72,2025-06-06,2025-06-07,Buy,State Street,BRK002
BKR000155,JY5976918822,4767,303.15,2025-04-24,2025-04-25,Sell,Northern Trust,BRK004
BKR000156,BK6250888237,6879,131.52,2025-04-07,2025-04-08,Buy,HDFC Custodian,BRK002
BKR000157,PQ0666104926,1601,514.69,2025-01-23,2025-01-25,Sell,State Street,BRK002
BKR000158,GQ6396968068,9975,532.46,2025-03-15,2025-03-16,Sell,BNY Mellon,BRK003
BKR000159,SZ0258974914,2715,228.76,2025-01-30,2025-02-02,Buy,State Street,BRK001
BKR000160,MW1028262655,8704,916.32,2025-04-20,2025-04-22,Buy,BNY Mellon,BRK001
BKR000161,SN7758348878,9036,809.85,2025-04-27,2025-04-29,Buy,State Street,BRK002
BKR000162,SC4895167431,1909,841.54,2025-04-16,2025-04-19,Sell,Northern Trust,BRK002
BKR000163,DF5408700410,386,849.76,2025-01-12,2025-01-15,Sell,HDFC Custodian,BRK004
BKR000164,CC7283552165,3186,855.64,2025-06-04,2025-06-07,Sell,BNY Mellon,BRK001
BKR000165,ND2680775244,5998,327.17,2025-01-20,2025-01-23,Sell,State Street,BRK004
BKR000166,AV4173911553,4902,356.5,2024-12-31,2025-01-03,Sell,HDFC Custodian,BRK002
BKR000167,VT5268148120,6912,259.17,2025-01-17,2025-01-18,Sell,Northern Trust,BRK002
BKR000168,YE3158701338,9537,474.64,2025-06-18,2025-06-21,Sell,BNY Mellon,BRK004
BKR000169,BQ7182072419,5677,315.94,2025-01-24,2025-01-27,Buy,Northern Trust,BRK001
BKR000170,RN5444701941,4540,348.54,2025-02-15,2025-02-17,Sell,State Street,BRK003
BKR000171,XN8356149168,1231,618.66,2025-02-20,2025-02-23,Sell,HDFC Custodian,BRK002
BKR000172,BY1175800962,8359,88.55,2025-05-17,2025-05-19,Buy,Northern Trust,BRK001
BKR000173,QQ3786963293,779,532.2,2025-01-05,2025-01-06,Buy,BNY Mellon,BRK003
BKR000174,DX1533726637,5844,587.1,2025-05-30,2025-06-01,Buy,Northern Trust,BRK004
BKR000175,ZK6823572952,9884,255.14,2025-05-13,2025-05-16,Buy,BNY Mellon,BRK004
BKR000176,KG0128391695,2024,544.19,2025-03-23,2025-03-26,Sell,State Street,BRK002
BKR000177,NS7428388752,5712,175.16,2025-04-18,2025-04-19,Buy,HDFC Custodian,BRK003
BKR000178,OE6914652822,6886,247.54,2025-04-30,2025-05-02,Buy,HDFC Custodian,BRK004
BKR000179,FD3620655057,7790,873.01,2025-04-23,2025-04-25,Sell,BNY Mellon,BRK003
BKR000180,CZ3750366250,4355,194.65,2025-04-17,2025-04-19,Sell,BNY Mellon,BRK001
BKR000181,JY6438458438,3521,542.83,2025-04-20,2025-04-23,Sell,State Street,BRK001
BKR000182,DU4340052871,6606,775.63,2025-04-05,2025-04-06,Buy,State Street,BRK004
BKR000183,TN8057836281,9685,609.28,2025-01-04,2025-01-07,Sell,HDFC Custodian,BRK004
BKR000184,BP6344710957,2535,343.6,2025-05-31,2025-06-01,Sell,State Street,BRK002
BKR000185,AB0646486108,2720,755.81,2025-02-08,2025-02-11,Sell,Northern Trust,BRK003
BKR000186,PF5808400246,7619,50.39,2024-12-23,2024-12-25,Buy,BNY Mellon,BRK003
BKR000187,LU4732928228,1916,788.07,2025-04-08,2025-04-10,Buy,BNY Mellon,BRK003
BKR000188,PL8405493257,5577,823.37,2025-06-12,2025-06-13,Buy,State Street,BRK002
BKR000189,CN6385746240,1349,546.49,2025-05-10,2025-05-13,Sell,HDFC Custodian,BRK004
BKR000190,BL6176381624,1561,746.14,2025-03-06,2025-03-09,Buy,BNY Mellon,BRK001
BKR000191,NL2545015587,8099,800.85,2025-03-14,2025-03-16,Buy,HDFC Custodian,BRK004
BKR000192,WA6195933715,2744,562.71,2025-04-29,2025-04-30,Buy,Northern Trust,BRK004
BKR000193,EW8373187248,6351,82.44,2025-01-14,2025-01-17,Buy,BNY Mellon,BRK003
BKR000194,XP4543800782,5108,817.0,2025-03-31,2025-04-03,Sell,Northern Trust,BRK003
BKR000195,VN2955196469,188,931.36,2025-03-27,2025-03-28,Buy,BNY Mellon,BRK001
BKR000196,YA7858198757,1782,841.74,2024-12-24,2024-12-26,Buy,Northern Trust,BRK004
BKR000197,NI5081719652,1319,293.22,2025-02-22,2025-02-23,Sell,State Street,BRK001
BKR000198,BY5270440409,6489,299.28,2025-05-29,2025-06-01,Buy,BNY Mellon,BRK004
BKR000199,GI7584247918,7977,460.84,2025-05-31,2025-06-01,Sell,State Street,BRK003
BKR000200,XS0150008915,5575,155.27,2024-12-27,2024-12-28,Sell,Northern Trust,BRK002
BKR000201,TB5817569397,2239,860.11,2025-03-28,2025-03-29,Buy,Northern Trust,BRK001
BKR000202,LY3389188064,9105,151.54,2025-01-28,2025-01-30,Sell,Northern Trust,BRK004
BKR000203,TZ7867184678,9784,660.58,2025-03-12,2025-03-14,Sell,Northern Trust,BRK002
BKR000204,MZ4679412690,2296,695.22,2025-02-18,2025-02-20,Sell,BNY Mellon,BRK002
BKR000205,ZH7084536110,8222,119.98,2025-03-27,2025-03-28,Buy,State Street,BRK003
BKR000206,MD6386709567,8421,202.24,2025-05-28,2025-05-30,Buy,HDFC Custodian,BRK003
BKR000207,GE7406747231,1084,537.63,2025-06-18,2025-06-19,Buy,Northern Trust,BRK001
BKR000208,KJ6500081442,401,723.72,2025-02-11,2025-02-14,Buy,HDFC Custodian,BRK003
BKR000209,IJ2307503252,3100,129.32,2025-01-09,2025-01-12,Sell,Northern Trust,BRK003
BKR000210,DM6877522991,9303,653.02,2025-05-04,2025-05-05,Buy,State Street,BRK002
BKR000211,BM2952329319,400,434.88,2025-03-07,2025-03-10,Sell,HDFC Custodian,BRK003
BKR000212,TQ2516794493,3796,799.37,2025-05-15,2025-05-16,Sell,Northern Trust,BRK004
BKR000213,CV2329132714,2754,473.66,2025-02-14,2025-02-17,Sell,State Street,BRK001
BKR000214,PG7947412862,8570,784.68,2025-04-15,2025-04-16,Buy,BNY Mellon,BRK003
BKR000215,RU7195009441,1083,271.34,2025-03-21,2025-03-23,Buy,Northern Trust,BRK003
BKR000216,WW2734141990,8349,172.77,2025-01-31,2025-02-02,Buy,BNY Mellon,BRK001
BKR000217,NE5600346942,7824,466.13,2025-03-15,2025-03-18,Buy,BNY Mellon,BRK004
BKR000218,GK4009924462,2255,256.65,2025-02-28,2025-03-01,Buy,State Street,BRK002
BKR000219,TR6220284416,1266,224.84,2025-03-11,2025-03-13,Buy,HDFC Custodian,BRK004
BKR000220,AG9107877616,3484,973.95,2025-04-01,2025-04-04,Sell,Northern Trust,BRK004
BKR000221,CL8789436295,7023,117.07,2025-06-18,2025-06-20,Sell,HDFC Custodian,BRK003
BKR000222,UQ0931487721,5056,299.02,2025-01-14,2025-01-17,Sell,Northern Trust,BRK003
BKR000223,IU3514399856,1940,787.18,2025-03-24,2025-03-27,Buy,State Street,BRK002
BKR000224,UC1189511260,2572,476.73,2025-01-09,2025-01-10,Buy,BNY Mellon,BRK003
BKR000225,YN5197183580,2169,755.86,2025-02-20,2025-02-21,Buy,BNY Mellon,BRK002
BKR000226,CY3803397615,1769,976.64,2025-01-02,2025-01-04,Sell,Northern Trust,BRK003
BKR000227,AQ9244022907,3437,620.74,2025-02-19,2025-02-20,Sell,HDFC Custodian,BRK002
BKR000228,TR7308244369,8050,332.4,2025-05-22,2025-05-23,Buy,State Street,BRK004
BKR000229,YU3284410405,4217,787.13,2025-02-06,2025-02-08,Buy,HDFC Custodian,BRK001
BKR000230,FB0045100066,576,998.81,2025-06-05,2025-06-08,Buy,BNY Mellon,BRK003
BKR000231,ZC0330656591,1737,957.55,2025-01-20,2025-01-21,Sell,HDFC Custodian,BRK002
BKR000232,JU4617251881,2204,636.69,2025-05-21,2025-05-23,Buy,Northern Trust,BRK002
BKR000233,PE3615132189,565,479.22,2025-01-19,2025-01-22,Sell,BNY Mellon,BRK001
BKR000234,UZ7349430249,4587,624.79,2025-02-18,2025-02-19,Sell,Northern Trust,BRK004
BKR000235,GK0533926863,2942,276.64,2025-01-03,2025-01-04,Buy,BNY Mellon,BRK004
BKR000236,OH5594942627,2055,359.79,2025-05-24,2025-05-26,Sell,State Street,BRK003
BKR000237,HL9831127319,4941,447.93,2025-03-15,2025-03-17,Buy,State Street,BRK003
BKR000238,WE7803116510,355,409.63,2025-04-05,2025-04-08,Sell,BNY Mellon,BRK002
BKR000239,GF9947971517,1287,658.65,2024-12-30,2025-01-02,Sell,Northern Trust,BRK003
BKR000240,WF3751468803,8603,484.38,2025-06-09,2025-06-10,Buy,Northern Trust,BRK004
BKR000241,KJ7252731582,2958,974.75,2025-04-14,2025-04-17,Sell,Northern Trust,BRK002
BKR000242,SQ8918372092,4717,776.41,2025-04-07,2025-04-08,Buy,Northern Trust,BRK004
BKR000243,SY8662270711,811,58.1,2025-03-17,2025-03-18,Buy,BNY Mellon,BRK003
BKR000244,MP2662510846,9470,533.22,2025-01-02,2025-01-04,Sell,State Street,BRK004
BKR000245,AJ7229193577,5518,218.13,2025-02-28,2025-03-02,Sell,HDFC Custodian,BRK003
BKR000246,RJ3231207702,4900,258.93,2025-03-25,2025-03-28,Sell,Northern Trust,BRK002
BKR000247,WS5629933603,7604,327.36,2025-03-18,2025-03-19,Sell,HDFC Custodian,BRK001
BKR000248,QO3264576111,2590,264.09,2025-02-07,2025-02-08,Buy,HDFC Custodian,BRK002
BKR000249,DI8307574781,1310,730.83,2025-04-19,2025-04-20,Buy,HDFC Custodian,BRK002
BKR000250,FL6317186326,1651,948.09,2025-02-08,2025-02-10,Sell,State Street,BRK003
BKR000251,OT2229740649,4826,310.1,2025-01-29,2025-02-01,Buy,Northern Trust,BRK001
BKR000252,SU7548293094,4852,925.92,2025-03-10,2025-03-13,Buy,HDFC Custodian,BRK004
BKR000253,AX9179080004,9809,699.96,2025-02-03,2025-02-04,Buy,HDFC Custodian,BRK003
BKR000254,OM3515735719,4721,982.84,2025-01-28,2025-01-31,Sell,BNY Mellon,BRK004
BKR000255,JU6312483154,4192,763.35,2025-02-16,2025-02-18,Sell,HDFC Custodian,BRK003
BKR000256,HD5449598427,1145,136.41,2025-04-13,2025-04-16,Sell,Northern Trust,BRK003
BKR000257,SI6950647138,4142,183.58,2025-03-07,2025-03-08,Sell,State Street,BRK002
BKR000258,TO3736111960,9969,461.33,2025-04-19,2025-04-20,Sell,Northern Trust,BRK004
BKR000259,IP4564169671,4942,616.81,2025-01-02,2025-01-05,Sell,State Street,BRK001
BKR000260,EJ4877014117,5651,697.66,2024-12-27,2024-12-28,Sell,HDFC Custodian,BRK002
BKR000261,KM7947364950,3940,214.25,2025-02-23,2025-02-25,Buy,BNY Mellon,BRK001
BKR000262,AA7113547415,1440,421.26,2024-12-25,2024-12-26,Sell,Northern Trust,BRK003
BKR000263,NU2778959208,4740,708.04,2025-01-03,2025-01-05,Buy,Northern Trust,BRK001
BKR000264,KM6152242744,3008,575.29,2025-06-12,2025-06-14,Buy,Northern Trust,BRK004
BKR000265,KS7785523144,6011,997.07,2025-02-22,2025-02-25,Buy,State Street,BRK001
BKR000266,CX1057917343,5765,667.3,2025-03-11,2025-03-14,Sell,State Street,BRK001
BKR000267,JF1631351561,4254,97.01,2025-01-07,2025-01-09,Sell,HDFC Custodian,BRK001
BKR000268,UC2638805513,2719,494.74,2025-01-17,2025-01-18,Sell,State Street,BRK003
BKR000269,IV7493315733,8214,718.68,2025-05-24,2025-05-27,Buy,HDFC Custodian,BRK004
BKR000270,GC0575272727,8268,118.04,2025-02-18,2025-02-20,Sell,State Street,BRK002
BKR000271,KH1554260278,1106,426.89,2025-05-29,2025-05-30,Sell,Northern Trust,BRK003
BKR000272,AM1494890062,4803,754.92,2025-05-13,2025-05-14,Buy,BNY Mellon,BRK002
BKR000273,RB3310383935,5507,426.88,2025-01-13,2025-01-14,Buy,Northern Trust,BRK002
BKR000274,SX4770126750,1379,995.15,2025-06-13,2025-06-16,Sell,BNY Mellon,BRK001
BKR000275,CU9807236302,4803,577.67,2025-03-08,2025-03-09,Sell,State Street,BRK002
BKR000276,ZZ0213196791,6057,896.03,2025-05-31,2025-06-03,Sell,BNY Mellon,BRK004
BKR000277,GM9392333744,9219,704.46,2025-01-02,2025-01-05,Buy,BNY Mellon,BRK004
