common_trade_id,trade_id,isin,quantity,price,trade_date,settlement_date,side,counter_party,broker_id,source
J8034J,CST512023,YZ4430138939,4562,765.06,01-06-2025,02-06-2025,Buy,BNY Mellon,BRK002,Custodian
C4634Y,CST566953,ZR4150520978,3701,205.57,25-04-2025,26-04-2025,Buy,State Street,BRK003,Custodian
M8491R,CST813330,NZ1223284960,311,925.73,24-04-2025,26-04-2025,Buy,BNY Mellon,BRK001,Custodian
K3092L,CST576631,ND7030113716,9606,771.3,12-05-2025,14-05-2025,Buy,BNY Mellon,BRK002,Custodian
Q9811E,CST837582,HZ8214820895,7398,825.65,26-02-2025,27-02-2025,Sell,BNY Mellon,BRK001,Custodian
M6690Z,CST319969,BE5318520225,2389,85.15,16-06-2025,19-06-2025,Buy,State Street,BRK002,Custodian
Z6361F,CST983372,OZ6902088712,2168,405.71,30-04-2025,01-05-2025,Sell,BNY Mellon,BRK003,Custodian
J4651Z,CST571003,XA1952180948,4270,793.61,27-03-2025,30-03-2025,Sell,State Street,BRK001,Custodian
L3102E,CST554259,IA0514401249,8379,82.66,18-06-2025,21-06-2025,Sell,BNY Mellon,BRK003,Custodian
T8268F,CST970815,FP9898252285,3659,485.31,31-03-2025,02-04-2025,Buy,State Street,BRK003,Custodian
U5063D,CST786780,PS9653626669,1164,480.39,21-05-2025,22-05-2025,Sell,Northern Trust,BRK004,Custodian
L8369E,CST706545,JO4936310424,2841,228.39,21-03-2025,24-03-2025,Buy,BNY Mellon,BRK003,Custodian
K7870C,CST232003,SH5055519241,7515,751.52,01-02-2025,04-02-2025,Buy,BNY Mellon,BRK004,Custodian
J7355Z,CST891977,OY8881428246,2121,544.12,15-04-2025,18-04-2025,Buy,HDFC Custodian,BRK003,Custodian
T5749S,CST269291,HL7027599437,8400,671.93,22-05-2025,24-05-2025,Sell,Northern Trust,BRK001,Custodian
D8265H,CST878500,NU2154604617,3224,630.3,22-12-2024,25-12-2024,Buy,Northern Trust,BRK002,Custodian
D6881T,CST960733,DM5497080191,4390,416.47,07-02-2025,09-02-2025,Sell,Northern Trust,BRK004,Custodian
H6216K,CST558369,TN3960414677,2800,419.02,22-02-2025,23-02-2025,Sell,BNY Mellon,BRK004,Custodian
Z8774T,CST857297,JX7683686564,1439,62.08,25-05-2025,27-05-2025,Sell,BNY Mellon,BRK002,Custodian
X4435K,CST119857,EZ6551522839,2468,363.54,17-06-2025,20-06-2025,Sell,Northern Trust,BRK002,Custodian
T1550O,CST114910,NX2709083424,7597,914.59,28-01-2025,30-01-2025,Buy,State Street,BRK004,Custodian
E3981Y,CST259562,ZE3162730449,6534,553.27,14-04-2025,15-04-2025,Sell,Northern Trust,BRK004,Custodian
B2776H,CST798188,PW5387172404,7987,825.25,15-03-2025,17-03-2025,Buy,State Street,BRK002,Custodian
P8346G,CST381484,US7272007157,844,238.14,02-02-2025,04-02-2025,Sell,BNY Mellon,BRK003,Custodian
O5963D,CST508644,HH6715357187,4279,995.55,09-04-2025,12-04-2025,Sell,Northern Trust,BRK003,Custodian
I9876M,CST512597,RF3879269973,1523,416.72,06-06-2025,07-06-2025,Buy,State Street,BRK002,Custodian
A6448Q,CST657500,JY5976918822,4523,303.15,24-04-2025,25-04-2025,Sell,Northern Trust,BRK004,Custodian
G3722P,CST823360,BK6250888237,6879,131.52,07-04-2025,08-04-2025,Buy,HDFC Custodian,BRK002,Custodian
B7606F,CST566508,PQ0666104926,1601,514.69,23-01-2025,25-01-2025,Sell,State Street,BRK002,Custodian
P3497C,CST326158,GQ6396968068,7266,532.46,15-03-2025,16-03-2025,Sell,BNY Mellon,BRK003,Custodian
E7534I,CST949577,SZ0258974914,2715,228.76,30-01-2025,02-02-2025,Buy,State Street,BRK001,Custodian
X6681R,CST439194,MW1028262655,8704,916.32,20-04-2025,22-04-2025,Buy,BNY Mellon,BRK001,Custodian
P2446A,CST849341,SN7758348878,9036,809.85,27-04-2025,29-04-2025,Buy,State Street,BRK002,Custodian
L9322R,CST545170,SC4895167431,1715,841.54,16-04-2025,19-04-2025,Sell,Northern Trust,BRK002,Custodian
W6557C,CST845612,DF5408700410,386,849.76,12-01-2025,15-01-2025,Sell,HDFC Custodian,BRK004,Custodian
W1990S,CST721785,CC7283552165,3186,855.64,04-06-2025,07-06-2025,Sell,BNY Mellon,BRK001,Custodian
R9630V,CST261523,ND2680775244,5998,327.17,20-01-2025,23-01-2025,Sell,State Street,BRK004,Custodian
C5006Y,CST722962,AV4173911553,4902,356.5,31-12-2024,03-01-2025,Sell,HDFC Custodian,BRK002,Custodian
A1373Y,CST796661,VT5268148120,6912,259.17,17-01-2025,18-01-2025,Sell,Northern Trust,BRK002,Custodian
M5657B,CST606791,YE3158701338,9537,474.64,18-06-2025,21-06-2025,Sell,BNY Mellon,BRK004,Custodian
T3418C,CST840666,KX5935855713,1175,235.35,24-01-2025,27-01-2025,Sell,Sanchez and Sons,BRK001,Custodian
F6713P,CST375717,FS1223316671,8396,279.74,15-02-2025,17-02-2025,Buy,Miller-Gonzalez,BRK003,Custodian
K4150J,CST184917,NI3383014418,4705,317.66,20-02-2025,23-02-2025,Buy,"Haas, Anderson and Cox",BRK002,Custodian
E7483R,CST747751,BY1175800962,8359,88.55,17-05-2025,19-05-2025,Buy,Northern Trust,BRK001,Custodian
S7521F,CST295680,QQ3786963293,779,532.2,05-01-2025,06-01-2025,Buy,BNY Mellon,BRK003,Custodian
D6553M,CST704977,DX1533726637,5844,587.1,30-05-2025,01-06-2025,Buy,Northern Trust,BRK004,Custodian
X9770I,CST971066,ZK6823572952,9884,255.14,13-05-2025,16-05-2025,Buy,BNY Mellon,BRK004,Custodian
K3966P,CST815930,KG0128391695,1900,544.19,23-03-2025,26-03-2025,Sell,State Street,BRK002,Custodian
D6331U,CST722126,NS7428388752,5712,175.16,18-04-2025,19-04-2025,Buy,HDFC Custodian,BRK003,Custodian
M6460O,CST520776,OE6914652822,6886,247.54,30-04-2025,02-05-2025,Buy,HDFC Custodian,BRK004,Custodian
E2659J,CST397177,FD3620655057,7790,873.01,23-04-2025,25-04-2025,Sell,BNY Mellon,BRK003,Custodian
U6626X,CST137439,CZ3750366250,4355,194.65,17-04-2025,19-04-2025,Sell,BNY Mellon,BRK001,Custodian
I2611J,CST383833,JY6438458438,3521,542.83,20-04-2025,23-04-2025,Sell,State Street,BRK001,Custodian
F4270N,CST490306,DU4340052871,6606,775.63,05-04-2025,06-04-2025,Buy,State Street,BRK004,Custodian
T3094D,CST215004,TN8057836281,9685,609.28,04-01-2025,07-01-2025,Sell,HDFC Custodian,BRK004,Custodian
H1734I,CST861455,BP6344710957,2241,343.6,31-05-2025,01-06-2025,Sell,State Street,BRK002,Custodian
R5475K,CST302901,AB0646486108,2720,755.81,08-02-2025,11-02-2025,Sell,Northern Trust,BRK003,Custodian
L6476G,CST667347,PF5808400246,7619,50.39,23-12-2024,25-12-2024,Buy,BNY Mellon,BRK003,Custodian
N4065N,CST354542,LU4732928228,1359,788.07,08-04-2025,10-04-2025,Buy,BNY Mellon,BRK003,Custodian
U9857R,CST930896,PL8405493257,4451,823.37,12-06-2025,13-06-2025,Buy,State Street,BRK002,Custodian
F9813J,CST107484,CN6385746240,1349,546.49,10-05-2025,13-05-2025,Sell,HDFC Custodian,BRK004,Custodian
N6759X,CST564914,BL6176381624,1561,746.14,06-03-2025,09-03-2025,Buy,BNY Mellon,BRK001,Custodian
O3334R,CST773203,NL2545015587,8099,800.85,14-03-2025,16-03-2025,Buy,HDFC Custodian,BRK004,Custodian
H3610E,CST327220,WA6195933715,2744,562.71,29-04-2025,30-04-2025,Buy,Northern Trust,BRK004,Custodian
T6690S,CST836258,EW8373187248,6351,82.44,14-01-2025,17-01-2025,Buy,BNY Mellon,BRK003,Custodian
R9444N,CST970305,XP4543800782,5108,817,31-03-2025,03-04-2025,Sell,Northern Trust,BRK003,Custodian
J7137U,CST183935,VN2955196469,161,931.36,27-03-2025,28-03-2025,Buy,BNY Mellon,BRK001,Custodian
A7683N,CST380131,YA7858198757,1782,841.74,24-12-2024,26-12-2024,Buy,Northern Trust,BRK004,Custodian
I4733M,CST804267,NI5081719652,944,293.22,22-02-2025,23-02-2025,Sell,State Street,BRK001,Custodian
X9353N,CST151596,BY5270440409,5469,299.28,29-05-2025,01-06-2025,Buy,BNY Mellon,BRK004,Custodian
L7497N,CST181585,GI7584247918,7977,460.84,31-05-2025,01-06-2025,Sell,State Street,BRK003,Custodian
M5172U,CST995470,XS0150008915,5575,155.27,27-12-2024,28-12-2024,Sell,Northern Trust,BRK002,Custodian
Y1490B,CST409669,TB5817569397,1574,860.11,28-03-2025,29-03-2025,Buy,Northern Trust,BRK001,Custodian
T8097I,CST619544,LY3389188064,9105,151.54,28-01-2025,30-01-2025,Sell,Northern Trust,BRK004,Custodian
N8759Z,CST947123,TZ7867184678,9784,660.58,12-03-2025,14-03-2025,Sell,Northern Trust,BRK002,Custodian
Z7844G,CST498878,MZ4679412690,2296,695.22,18-02-2025,20-02-2025,Sell,BNY Mellon,BRK002,Custodian
F9097B,CST921434,ZH7084536110,8222,119.98,27-03-2025,28-03-2025,Buy,State Street,BRK003,Custodian
O1485D,CST403605,MD6386709567,5981,202.24,28-05-2025,30-05-2025,Buy,HDFC Custodian,BRK003,Custodian
G9510B,CST880276,GE7406747231,1084,537.63,18-06-2025,19-06-2025,Buy,Northern Trust,BRK001,Custodian
D5607T,CST129875,KJ6500081442,401,723.72,11-02-2025,14-02-2025,Buy,HDFC Custodian,BRK003,Custodian
T6958L,CST249948,IJ2307503252,3100,129.32,09-01-2025,12-01-2025,Sell,Northern Trust,BRK003,Custodian
W2751X,CST136490,DM6877522991,9303,653.02,04-05-2025,05-05-2025,Buy,State Street,BRK002,Custodian
G5402G,CST231822,BM2952329319,400,434.88,07-03-2025,10-03-2025,Sell,HDFC Custodian,BRK003,Custodian
F7871W,CST530806,TQ2516794493,3796,799.37,15-05-2025,16-05-2025,Sell,Northern Trust,BRK004,Custodian
Q2020X,CST926672,CV2329132714,2754,473.66,14-02-2025,17-02-2025,Sell,State Street,BRK001,Custodian
S5624M,CST895583,PG7947412862,8570,784.68,15-04-2025,16-04-2025,Buy,BNY Mellon,BRK003,Custodian
R7205F,CST181874,RU7195009441,1083,271.34,21-03-2025,23-03-2025,Buy,Northern Trust,BRK003,Custodian
V4570C,CST805986,WW2734141990,8349,172.77,31-01-2025,02-02-2025,Buy,BNY Mellon,BRK001,Custodian
Z9460X,CST192221,NE5600346942,6505,466.13,15-03-2025,18-03-2025,Buy,BNY Mellon,BRK004,Custodian
X1095I,CST728192,GK4009924462,2255,256.65,28-02-2025,01-03-2025,Buy,State Street,BRK002,Custodian
K8845C,CST567263,TR6220284416,1266,224.84,11-03-2025,13-03-2025,Buy,HDFC Custodian,BRK004,Custodian
N2710K,CST951770,AG9107877616,3484,973.95,01-04-2025,04-04-2025,Sell,Northern Trust,BRK004,Custodian
R4099Z,CST961332,CL8789436295,7023,117.07,18-06-2025,20-06-2025,Sell,HDFC Custodian,BRK003,Custodian
B4011J,CST310789,HC3339351659,3025,776.11,14-01-2025,17-01-2025,Buy,Mccarthy Ltd,BRK003,Custodian
C5466S,CST683720,IU3514399856,1940,787.18,24-03-2025,27-03-2025,Buy,State Street,BRK002,Custodian
Y4323Y,CST928829,UC1189511260,2572,476.73,09-01-2025,10-01-2025,Buy,BNY Mellon,BRK003,Custodian
V5131R,CST321104,YN5197183580,2169,755.86,20-02-2025,21-02-2025,Buy,BNY Mellon,BRK002,Custodian
E1216P,CST868443,CY3803397615,1769,976.64,02-01-2025,04-01-2025,Sell,Northern Trust,BRK003,Custodian
N8465X,CST414168,AQ9244022907,3437,620.74,19-02-2025,20-02-2025,Sell,HDFC Custodian,BRK002,Custodian
G8910V,CST178699,TR7308244369,8050,332.4,22-05-2025,23-05-2025,Buy,State Street,BRK004,Custodian
T2727F,CST633621,YU3284410405,4217,787.13,06-02-2025,08-02-2025,Buy,HDFC Custodian,BRK001,Custodian
W4336V,CST143554,FB0045100066,576,998.81,05-06-2025,08-06-2025,Buy,BNY Mellon,BRK003,Custodian
O3676E,CST576014,ZC0330656591,1737,957.55,20-01-2025,21-01-2025,Sell,HDFC Custodian,BRK002,Custodian
F8063Y,CST891941,JU4617251881,2204,636.69,21-05-2025,23-05-2025,Buy,Northern Trust,BRK002,Custodian
X1626G,CST535114,PE3615132189,565,479.22,19-01-2025,22-01-2025,Sell,BNY Mellon,BRK001,Custodian
